# Constructed from biom file
#OTU ID	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
EC:1.1.1.1	475.0	24.0	0.0	80.0	1146.0	878.0	385.0	0.0	1691.0	1589.0	1885.5	1142.0	949.75	1030.0	255.0	196.75	622.0	1893.0	12.0	0.0	285.0	180.0	5.0	0.0	6.0	0.0	0.0
EC:1.1.1.100	1070.0	58.0	25.0	197.0	2360.0	1904.0	791.5	8.0	3616.5	3192.0	3817.5	2335.0	1960.0	2058.0	510.0	385.5	1259.0	3815.5	12.0	12.0	570.0	460.0	10.0	0.0	24.0	0.0	0.0
EC:1.1.1.103	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	8.0	25.0	20.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.125	77.0	0.0	0.0	0.0	219.0	157.0	77.0	0.0	292.0	315.0	308.0	200.0	168.0	204.0	51.0	38.0	123.0	348.0	0.0	0.0	57.0	21.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.132	154.0	0.0	0.0	0.0	438.0	314.0	154.0	0.0	584.0	630.0	616.0	400.0	336.0	408.0	102.0	76.0	246.0	696.0	0.0	0.0	114.0	42.0	2.0	0.0	0.0	0.0	0.0
EC:1.1.1.133	187.0	0.0	0.0	16.0	236.0	274.0	98.5	0.0	381.5	350.0	422.5	247.0	236.0	204.0	51.0	43.5	152.0	398.5	0.0	0.0	57.0	96.0	1.0	0.0	6.0	0.0	0.0
EC:1.1.1.136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.14	99.0	0.0	0.0	16.0	219.0	188.0	77.0	0.0	308.0	315.0	379.0	246.0	196.0	210.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	214.0	0.0	0.0	32.0	472.0	387.5	166.5	0.0	720.0	658.0	773.0	454.0	392.0	408.0	102.0	76.0	261.0	762.0	0.0	0.0	114.0	92.0	2.0	0.0	6.0	0.0	0.0
EC:1.1.1.159	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	16.0	0.0	63.0	21.0	8.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.169	30.0	12.0	0.0	16.0	17.0	43.5	9.0	0.0	89.5	0.0	90.0	35.0	37.75	4.0	0.0	12.25	21.0	38.5	6.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.18	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	355.0	315.0	379.0	265.0	196.0	216.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
EC:1.1.1.193	184.0	34.0	25.0	53.0	455.0	369.0	175.5	8.0	673.5	665.0	721.0	454.0	373.75	418.0	102.0	88.25	282.0	734.5	0.0	12.0	114.0	67.0	2.0	0.0	12.0	0.0	0.0
EC:1.1.1.2	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.203	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.205	393.0	46.0	25.0	85.0	708.0	623.5	286.5	8.0	1108.0	1036.0	1226.5	754.0	617.25	642.0	153.0	145.25	463.0	1154.0	6.0	12.0	171.0	138.0	3.0	0.0	12.0	0.0	0.0
