pathway																											
#OTU ID	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
K00001	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	365.0	315.0	379.0	227.0	196.0	204.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
K00002	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00003	179.0	46.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
K00004	22.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	7.0	8.0	6.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
K00005	0.0	46.0	25.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	6.5	0.0	9.75	4.0	0.0	6.75	7.0	0.0	6.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
K00008	99.0	0.0	0.0	16.0	219.0	188.0	77.0	0.0	308.0	315.0	379.0	246.0	196.0	210.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
K00010	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	355.0	315.0	379.0	265.0	196.0	216.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
K00012	220.0	46.0	25.0	53.0	455.0	369.0	175.5	8.0	673.5	658.0	721.0	454.0	373.75	418.0	102.0	88.25	282.0	734.5	6.0	12.0	114.0	67.0	2.0	0.0	12.0	0.0	0.0
K00013	143.0	34.0	25.0	53.0	236.0	212.0	98.5	8.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
K00014	143.0	46.0	25.0	53.0	236.0	224.5	107.5	8.0	398.0	350.0	432.0	262.0	215.5	218.0	51.0	62.5	180.0	392.0	6.0	12.0	57.0	46.0	1.0	0.0	12.0	0.0	0.0
K00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
K00016	0.0	58.0	25.0	37.0	0.0	24.0	21.5	8.0	16.5	35.0	40.5	27.0	19.5	14.0	0.0	19.0	43.0	5.5	12.0	12.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
K00018	0.0	34.0	25.0	37.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00019	107.0	0.0	0.0	16.0	236.0	188.0	77.0	0.0	365.0	315.0	379.0	227.0	196.0	204.0	51.0	38.0	123.0	381.0	0.0	0.0	57.0	46.0	1.0	0.0	0.0	0.0	0.0
K00020	30.0	12.0	0.0	32.0	17.0	55.0	21.5	0.0	105.5	35.0	174.5	56.0	55.5	8.0	0.0	19.0	43.0	65.5	6.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0
K00021	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00024	143.0	0.0	0.0	16.0	236.0	212.0	98.5	0.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	0.0	57.0	46.0	1.0	0.0	6.0	0.0	0.0
K00025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00027	214.0	46.0	25.0	69.0	472.0	387.5	166.5	8.0	710.0	665.0	773.0	473.0	392.0	414.0	102.0	76.0	261.0	762.0	6.0	12.0	114.0	92.0	2.0	0.0	6.0	0.0	0.0
K00029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00031	107.0	0.0	0.0	16.0	236.0	212.0	98.5	0.0	381.5	350.0	413.0	254.0	205.75	214.0	51.0	50.25	159.0	386.5	0.0	0.0	57.0	46.0	1.0	0.0	6.0	0.0	0.0
K00033	137.0	12.0	0.0	32.0	253.0	243.0	98.5	8.0	434.5	350.0	484.0	281.0	233.75	214.0	51.0	50.25	159.0	419.5	6.0	12.0	57.0	71.0	1.0	0.0	12.0	0.0	0.0
