pathway	E1	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S14	S2	S3	S5	S6	S8	S9
1CMET2-PWY	76.81909222443330	41.786259541984700	25.000000000000000	45.99888300713900	0.0	67.63432168183670	50.24029265655100	8.0	80.42700844218590	99.80965299960620	100.9243264869730	76.57072088499730	30.971354202813600	31.662183208268400	0.0	27.537508542927400	83.0772895712017	18.664648971279900	0.0	12.000000000000000	0.0	0.0	0.0	0.0	8.4	0.0	0.0
ANAEROFRUCAT-PWY	136.10609642855200	32.74387496271350	0.0	49.52721060564160	84.37310521807130	104.72467528974000	72.55760334967950	0.0	259.8611937233020	159.5841280438300	247.59809465002200	120.52141904790200	89.8945230605892	71.09076646777040	0.0	47.07657327628980	129.97458988096800	134.96387661309600	6.882352941176470	0.0	0.0	0.0	0.0	0.0	9.551020408163260	0.0	0.0
ANAGLYCOLYSIS-PWY	148.91375841891800	28.631160572337000	0.0	47.31853715518020	288.900403567336	263.5573934299130	122.76987359361400	0.0	464.6201147512890	435.6374964964460	507.86933829127900	316.1779258892150	253.4081468576530	264.56621682815700	62.590909090909100	61.77747210541250	197.5766247131950	473.748938606701	6.352941176470590	0.0	69.95454545454550	56.52332091125080	1.2272727272727300	0.0	9.818181818181820	0.0	0.0
ARGORNPROST-PWY	56.22783647220950	0.0	0.0	0.0	0.0	85.04570905869010	0.0	0.0	0.0	0.0	30.20475086725000	22.294773474254000	61.916936566436700	0.0	0.0	0.0	0.0	22.922198332474000	0.0	0.0	0.0	38.01652892561980	0.0	0.0	0.0	0.0	0.0
ARGSYN-PWY	154.0948275862070	0.0	0.0	51.26448362720400	246.2608695652170	228.52453380502700	102.50960528754100	0.0	394.6640714619320	364.8868778280540	432.6976520399050	266.32176495699300	219.65632330408400	223.18827320927300	53.21739130434780	52.27703076072940	165.45387453874500	404.8557671541510	0.0	0.0	59.47826086956520	52.855023600809200	1.0434782608695700	0.0	12.255319148936200	0.0	0.0
ARGSYNBSUB-PWY	170.69871080693900	0.0	0.0	48.284697508896800	277.64705882352900	255.2723380639020	114.2359160746740	0.0	447.65944905096900	409.7560975609760	485.60101614562900	298.4731146019100	246.49333519805400	251.05809710917800	60.0	58.16773241515000	184.29099876695400	455.96149972354300	0.0	0.0	67.05882352941180	59.0063233965673	1.1764705882352900	0.0	12.631578947368400	0.0	0.0
ARO-PWY	138.33954493391700	46.0	25.000000000000000	58.36081769131390	238.28734321550700	221.92719562522800	101.34241652527100	9.333333333333330	391.7521291492840	354.6052631578950	426.99228215549400	259.3922811864590	212.8785792563160	214.5624178712220	51.00000000000000	51.69753086419750	163.74566669485100	392.4249146969150	6.000000000000000	14.000000000000000	57.0	49.69774919614150	1.0	0.0	13.263157894736800	0.0	0.0
ASPASN-PWY	0.0	36.372093023255800	25.0	40.02040816326530	0.0	30.44848484848490	26.225742574257400	0.0	26.996712179767100	45.03496503496500	55.76302622609230	40.03707136237260	16.165259226861400	14.475418144956900	0.0	16.514412416851400	46.00797390358830	10.06848691464930	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.695113346664900	19.109749359122600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRANCHED-CHAIN-AA-SYN-PWY	201.3885328716720	44.78977844914400	29.411764705882400	71.14474994714290	303.4401883469840	296.39519513257900	122.79446898450600	0.0	501.87667798754600	440.14927475003500	560.8600298046720	347.34693550659600	284.03649446895100	273.15299475219400	64.55696202531650	62.516044480920400	198.08858510385900	510.81627343738100	0.0	0.0	72.15189873417720	77.79328962081260	1.2658227848101300	0.0	10.285714285714300	0.0	0.0
