# Constructed from biom file
#OTU ID	Stewart.CO10spitDNA.Project12.Integrated	Stewart.CO10stoolDNA.Project12.Integrated	Stewart.CO10swabDNA.Project12.Integrated	Stewart.CO1spitDNA.Project10	Stewart.CO1stoolDNA.Project10	Stewart.CO1swabDNA.Project10	Stewart.CO2spitDNA.Project10	Stewart.CO2stoolDNA.Project10	Stewart.CO2swabDNA.Project10	Stewart.CO3spitDNA.Project10	Stewart.CO3stoolDNA.Project10	Stewart.CO3swabDNA.Project10	Stewart.CO4spitDNA.Project10	Stewart.CO4stoolDNA.Project10	Stewart.CO4swabDNA.Project10	Stewart.CO5spitDNA.Project10	Stewart.CO5stoolDNA.Project10	Stewart.CO5swabDNA.Project10	Stewart.CO6spitDNA.Project10	Stewart.CO6stoolDNA.Project10	Stewart.CO6swabDNA.Project10	Stewart.CO7spitDNA.Project10	Stewart.CO7stoolDNA.Project10	Stewart.CO7swabDNA.Project10	Stewart.CO8spitDNA.Project10	Stewart.CO8stoolDNA.Project10	Stewart.CO8swabDNA.Project10	Stewart.CO9spitDNA.Project10	Stewart.CO9stoolDNA.Project10	Stewart.CO9swabDNA.Project10	Stewart.EC10spitDNA.Project12.Integrated	Stewart.EC10stoolDNA.Project12.Integrated	Stewart.EC10swabDNA.Project12.Integrated	Stewart.EC11spitDNA.Project12.Integrated	Stewart.EC11stoolDNA.Project12.Integrated	Stewart.EC11swabDNA.Project12.Integrated	Stewart.EC1spitDNA.Pool264	Stewart.EC1stoolDNA.Pool264	Stewart.EC1swabDNA.Pool264	Stewart.EC2spitDNA.Pool264	Stewart.EC2stoolDNA.Pool264	Stewart.EC2swabDNA.Pool264	Stewart.EC3spitDNA.Pool264	Stewart.EC3stoolDNA.Pool264	Stewart.EC3swabDNA.Pool264	Stewart.EC4spitDNA.Pool264	Stewart.EC4stoolDNA.Pool264	Stewart.EC4swabDNA.Pool264	Stewart.EC6spitDNA.Pool264	Stewart.EC6stoolDNA.Pool264	Stewart.EC6swabDNA.Pool264	Stewart.EC7spitDNA.Project10	Stewart.EC7stoolDNA.Project10	Stewart.EC7swabDNA.Project10	Stewart.EC8spitDNA.Project10	Stewart.EC8stoolDNA.Project10	Stewart.EC8swabDNA.Project10	Stewart.EC9spitDNA.Project10	Stewart.EC9stoolDNA.Project10	Stewart.EC9swabDNA.Project10	Stewart.TS10spitDNA.Project12.Integrated	Stewart.TS10stoolDNA.Project12.Integrated	Stewart.TS10swabDNA.Project12.Integrated	Stewart.TS11spitDNA.Project12.Integrated	Stewart.TS11stoolDNA.Project12.Integrated	Stewart.TS11swabDNA.Project12.Integrated	Stewart.TS12spitDNA.Project12.Integrated	Stewart.TS12stoolDNA.Project12.Integrated	Stewart.TS12swabDNA.Project12.Integrated	Stewart.TS1spitDNA.Pool264	Stewart.TS1stoolDNA.Pool264	Stewart.TS1swabDNA.Pool264	Stewart.TS2spitDNA.Pool264	Stewart.TS2stoolDNA.Pool264	Stewart.TS2swabDNA.Pool264	Stewart.TS3spitDNA.Pool264	Stewart.TS3stoolDNA.Pool264	Stewart.TS3swabDNA.Pool264	Stewart.TS4spitDNA.Pool264	Stewart.TS4stoolDNA.Pool264	Stewart.TS4swabDNA.Pool264	Stewart.TS5spitDNA.Pool264	Stewart.TS5stoolDNA.Pool264	Stewart.TS5swabDNA.Pool264	Stewart.TS8spitDNA.Project10	Stewart.TS8stoolDNA.Project10	Stewart.TS8swabDNA.Project10	Stewart.TS9spitDNA.Project12.Integrated	Stewart.TS9stoolDNA.Project12.Integrated	Stewart.TS9swabDNA.Project12.Integrated
EC:1.1.1.1	20894.68	15245.01	13343.980000000001	18370.64	37736.49	14863.92	14378.21	19892.559999999998	21048.07	15160.0	35389.55	33819.2	14640.69	23369.010000000002	8316.01	16761.13	37503.72	20564.08	18115.16	23520.07	21615.83	13899.83	30758.83	22534.07	10723.130000000001	31707.589999999997	15685.289999999999	21576.03	33789.42	23047.489999999998	13956.54	19918.18	15884.380000000001	14255.41	27576.769999999997	8164.81	12011.720000000001	18126.23	9673.03	16944.28	30304.37	15461.04	20117.18	27252.559999999998	19661.26	17332.1	23248.41	11563.65	7440.88	15541.35	11186.2	50136.95	22930.03	16849.05	13810.35	21489.86	47707.47	16310.5	25878.82	13071.91	12601.61	15957.02	16533.5	27361.84	13161.19	16672.6	15529.0	14159.8	14410.72	3021.8199999999997	6180.63	3972.38	10294.73	8667.130000000001	7527.63	5665.84	29213.300000000003	6858.24	15942.8	10185.45	12138.810000000001	11059.77	17948.160000000003	11693.619999999999	12284.96	27646.239999999998	6525.04	9479.85	8621.02	9563.380000000001
EC:1.1.1.100	50303.55	35275.36	21591.86	34277.2	82572.45999999999	27186.61	41940.04000000001	44328.83	39900.69	44766.05	74272.32	89150.65	34870.1	47987.270000000004	16239.65	49969.91	74964.82	34651.42	38577.89	54711.82	28320.95	40801.14	75201.86	38590.25	44308.11	66718.73	29357.12	58095.07	73109.47	51974.09	35458.39	46808.94	49773.479999999996	37823.43	60671.020000000004	22552.12	40728.229999999996	38072.75	17620.44	33461.880000000005	64532.229999999996	27327.34	28376.78	57044.08	24708.66	25197.93	50728.880000000005	18235.65	33923.59	38445.770000000004	22976.5	153215.47	52661.06999999999	32501.43	41739.55	47479.95	101340.57	41260.43	59776.32000000001	22407.050000000003	29444.600000000002	41186.69	27393.44	59810.17	35663.96	29864.050000000003	31645.420000000002	32569.71	23189.34	21859.309999999998	16452.53	15119.99	20936.510000000002	20699.91	13702.76	22502.510000000002	65726.02	8694.37	37094.380000000005	22821.77	23265.79	24553.11	42012.560000000005	18799.35	42559.509999999995	59685.369999999995	12209.880000000001	27635.15	22848.489999999998	17063.72
EC:1.1.1.102	13.0	0.0	12.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.5	3.0	0.0	4.5	0.0	0.0	0.0	3.0	0.0	0.0	2.5	0.0	14.0	0.0	0.0	3.0	9.0	0.0	6.5	0.0	0.0	13.5	0.0	0.0	0.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	3.0	31.0	0.0	5.5	0.0	0.0	6.0	0.0	0.0	3.5	18.5	0.0	0.0	13.5	0.0	3.0	12.5	0.0	0.0	5.5	0.0	2.0	9.0	0.0	5.0	18.0	0.0	0.0	0.0	0.0	0.0	8.5	0.0	13.0
EC:1.1.1.103	38.0	1238.03	29.5	103.0	1644.15	28.0	88.0	767.9300000000001	504.0	38.0	1934.1	0.0	86.0	1313.35	269.0	158.0	2448.0	3145.67	270.0	1663.8700000000001	795.0	724.0	1326.85	1395.0	121.0	1954.0	454.0	6.0	1195.7	5.0	52.0	1350.62	121.0	11.0	963.8	121.5	21.0	478.0	0.0	2625.0	2170.9	146.0	31.0	999.0	0.0	71.0	708.25	14.5	153.0	1111.08	1182.0	445.7	674.13	173.0	696.5	680.2	5649.4	269.5	2141.6	105.47999999999999	161.0	948.35	442.0	716.0	1103.5	119.0	523.5	871.0	71.5	277.0	211.0	76.0	115.0	521.0	0.0	208.0	1045.2	10.0	202.0	446.0	277.5	931.0	1038.3799999999999	247.0	151.0	853.8	54.5	307.5	321.35	209.5
EC:1.1.1.105	38.0	0.0	22.0	73.0	0.0	42.0	142.0	0.0	7.0	26.0	0.0	48.0	13.0	0.0	8.0	53.0	0.0	28.0	175.0	0.0	20.0	221.0	0.0	88.0	86.0	0.0	23.0	26.0	0.0	31.0	24.0	0.0	7.0	33.0	0.0	10.0	20.0	0.0	13.0	161.0	0.0	124.0	35.0	0.0	39.0	0.0	0.0	5.0	30.0	0.0	0.0	127.0	0.0	132.0	102.0	0.0	87.0	13.0	0.0	0.0	13.0	0.0	30.0	0.0	0.0	0.0	11.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	3.0	43.0	0.0	23.0	39.0	0.0	44.0	76.0	0.0	18.0	13.0	0.0	14.0
EC:1.1.1.108	0.0	62.0	0.0	0.0	0.0	0.0	1.67	44.0	0.0	4.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	48.0	0.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	7.0	14.0	0.0	0.0	30.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0
EC:1.1.1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	5.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.122	35.33	1110.0	22.67	1.67	2751.0	5.33	0.0	39.0	0.0	160.32999999999998	3171.0	8.33	12.33	2058.0	32.0	0.0	4770.0	15.0	0.0	0.0	0.0	1.33	903.0	1.67	3.0	1362.0	0.0	6.0	1062.0	0.0	105.0	1878.0	363.0	12.0	0.0	57.0	31.0	0.0	8.0	0.0	4830.0	0.0	0.0	945.0	0.0	213.0	54.0	52.0	0.0	1407.0	0.0	62.67	552.0	9.0	5.0	507.0	1.67	499.0	3894.0	120.0	0.0	51.0	3.33	2117.33	1839.0	162.67000000000002	1527.0	375.0	103.0	0.0	0.0	8.0	6.0	801.0	0.0	0.0	0.0	0.0	0.0	1104.0	13.0	10.67	600.0	22.0	0.0	72.0	0.0	440.0	45.0	69.0
EC:1.1.1.125	810.08	461.0	161.17000000000002	48.67	1718.75	81.08	93.0	334.0	21.0	254.32999999999998	671.5	57.33	180.70999999999998	388.25	464.0	151.25	575.0	97.5	115.0	697.5	445.0	76.33	1603.26	154.67000000000002	65.25	3842.0	567.25	1726.0	935.62	1279.75	21.0	1101.0	55.0	344.0	674.5	180.0	436.0	317.0	322.0	34.25	99.0	0.0	92.5	1973.62	0.0	1544.5	773.75	801.5	113.13	509.0	0.0	809.19	569.5	545.5	220.13	628.0	256.71999999999997	504.0	286.0	225.75	106.0	169.0	121.33	2118.08	3140.5	924.6700000000001	241.0	76.0	484.5	28.63	178.0	77.88	277.5	18.0	124.0	0.0	365.0	0.0	36.0	45.5	379.5	123.67	347.0	177.0	189.5	874.0	73.5	312.0	46.0	240.5
EC:1.1.1.130	51.0	166.2	0.0	900.33	50.25	684.5	293.0	56.5	408.0	31.0	95.42	0.0	90.0	56.25	7.83	552.0	291.0	998.0	715.67	277.0	901.8299999999999	269.17	292.19000000000005	262.17	72.17	1.6	229.0	0.0	10.17	16.0	0.0	110.0	0.0	0.0	116.83	0.0	0.0	26.87	0.83	137.0	22.6	0.0	0.0	154.8	0.0	0.0	98.42	0.0	68.0	99.7	0.0	811.87	79.8	275.0	628.0	104.67	2823.9	27.0	83.17	32.75	7.33	263.0	0.0	0.0	5.0	0.0	129.0	79.0	11.0	54.0	17.33	0.0	0.0	7.0	0.0	914.5	2.0	0.0	715.0	0.0	414.0	218.83	198.0	71.17	0.0	113.97	37.33	58.0	54.0	0.0
