pathway	Stewart.CO10spitDNA.Project12.Integrated	Stewart.CO10stoolDNA.Project12.Integrated	Stewart.CO10swabDNA.Project12.Integrated	Stewart.CO1spitDNA.Project10	Stewart.CO1stoolDNA.Project10	Stewart.CO1swabDNA.Project10	Stewart.CO2spitDNA.Project10	Stewart.CO2stoolDNA.Project10	Stewart.CO2swabDNA.Project10	Stewart.CO3spitDNA.Project10	Stewart.CO3stoolDNA.Project10	Stewart.CO3swabDNA.Project10	Stewart.CO4spitDNA.Project10	Stewart.CO4stoolDNA.Project10	Stewart.CO4swabDNA.Project10	Stewart.CO5spitDNA.Project10	Stewart.CO5stoolDNA.Project10	Stewart.CO5swabDNA.Project10	Stewart.CO6spitDNA.Project10	Stewart.CO6stoolDNA.Project10	Stewart.CO6swabDNA.Project10	Stewart.CO7spitDNA.Project10	Stewart.CO7stoolDNA.Project10	Stewart.CO7swabDNA.Project10	Stewart.CO8spitDNA.Project10	Stewart.CO8stoolDNA.Project10	Stewart.CO8swabDNA.Project10	Stewart.CO9spitDNA.Project10	Stewart.CO9stoolDNA.Project10	Stewart.CO9swabDNA.Project10	Stewart.EC10spitDNA.Project12.Integrated	Stewart.EC10stoolDNA.Project12.Integrated	Stewart.EC10swabDNA.Project12.Integrated	Stewart.EC11spitDNA.Project12.Integrated	Stewart.EC11stoolDNA.Project12.Integrated	Stewart.EC11swabDNA.Project12.Integrated	Stewart.EC1spitDNA.Pool264	Stewart.EC1stoolDNA.Pool264	Stewart.EC1swabDNA.Pool264	Stewart.EC2spitDNA.Pool264	Stewart.EC2stoolDNA.Pool264	Stewart.EC2swabDNA.Pool264	Stewart.EC3spitDNA.Pool264	Stewart.EC3stoolDNA.Pool264	Stewart.EC3swabDNA.Pool264	Stewart.EC4spitDNA.Pool264	Stewart.EC4stoolDNA.Pool264	Stewart.EC4swabDNA.Pool264	Stewart.EC6spitDNA.Pool264	Stewart.EC6stoolDNA.Pool264	Stewart.EC6swabDNA.Pool264	Stewart.EC7spitDNA.Project10	Stewart.EC7stoolDNA.Project10	Stewart.EC7swabDNA.Project10	Stewart.EC8spitDNA.Project10	Stewart.EC8stoolDNA.Project10	Stewart.EC8swabDNA.Project10	Stewart.EC9spitDNA.Project10	Stewart.EC9stoolDNA.Project10	Stewart.EC9swabDNA.Project10	Stewart.TS10spitDNA.Project12.Integrated	Stewart.TS10stoolDNA.Project12.Integrated	Stewart.TS10swabDNA.Project12.Integrated	Stewart.TS11spitDNA.Project12.Integrated	Stewart.TS11stoolDNA.Project12.Integrated	Stewart.TS11swabDNA.Project12.Integrated	Stewart.TS12spitDNA.Project12.Integrated	Stewart.TS12stoolDNA.Project12.Integrated	Stewart.TS12swabDNA.Project12.Integrated	Stewart.TS1spitDNA.Pool264	Stewart.TS1stoolDNA.Pool264	Stewart.TS1swabDNA.Pool264	Stewart.TS2spitDNA.Pool264	Stewart.TS2stoolDNA.Pool264	Stewart.TS2swabDNA.Pool264	Stewart.TS3spitDNA.Pool264	Stewart.TS3stoolDNA.Pool264	Stewart.TS3swabDNA.Pool264	Stewart.TS4spitDNA.Pool264	Stewart.TS4stoolDNA.Pool264	Stewart.TS4swabDNA.Pool264	Stewart.TS5spitDNA.Pool264	Stewart.TS5stoolDNA.Pool264	Stewart.TS5swabDNA.Pool264	Stewart.TS8spitDNA.Project10	Stewart.TS8stoolDNA.Project10	Stewart.TS8swabDNA.Project10	Stewart.TS9spitDNA.Project12.Integrated	Stewart.TS9stoolDNA.Project12.Integrated	Stewart.TS9swabDNA.Project12.Integrated
1CMET2-PWY	13723.220668893600	10294.767678299000	10486.444546842100	19165.41865571760	25027.73722933780	12040.331701708800	21691.20683263960	16372.066432034200	10576.645636197200	18601.42555278250	20216.008013479100	14452.9663715835	19645.47787112110	13988.718190516300	4159.829944484930	24814.06778506850	19467.979696485000	13563.01778696410	21082.188879670800	17284.40392703720	14555.445371340700	22711.74984512880	21999.303889894400	16168.724729008500	27069.26568825510	20558.915742575000	12295.831354876300	25400.118225658400	21820.786255655300	16820.108859361800	9738.976108784280	13654.9585739874	8906.483679230550	14935.75716182040	20799.42340353690	7713.651326519940	17916.93768911790	13120.114550519100	6365.8412493625300	13264.702239001700	18040.47286805740	12919.047410086400	13800.839931703900	19147.49212051940	16759.491272284400	13676.377261702400	14787.688513563600	5429.577897974070	20018.853007414200	11144.364577473800	8072.725137862280	59248.00609607560	17358.71229466170	13075.2750752306	19221.610577709000	14575.891484115300	28385.26528942730	15594.334878833000	16454.676373133200	8868.114030808500	16353.665374218700	13436.265793788200	10768.302275634600	13738.409173880300	10850.821962729600	7297.51987170836	10915.511976856500	9197.143888611870	6617.0928461591400	12394.589484265400	5705.528430458130	7858.722833971530	8347.360658765070	6234.868766964460	3729.5766090852700	16461.352428443700	19196.654568498200	3543.3345621488700	11233.008365367400	6384.435160078340	9157.86724755314	11009.424822922200	12900.685500326800	7424.119706797410	23521.782548978900	18583.249415675100	5817.056655190970	12791.240855349900	7605.306044276800	6917.609794303440
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4983477968069100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.623874266542900	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.396971178551200	0.0	0.0	0.0	0.0	36.72480482796480	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	824.017980891274	0.0	494.1657851825820	1275.3488456912600	12.350886771940900	880.6753588906800	2605.5829805146500	0.0	59.18567986460990	841.9965017819640	21.314425615852600	1085.488657419690	1316.4427997576100	51.89436963286870	748.8619741846340	1218.3539264033600	0.0	709.1873160220620	3238.8941114022900	0.0	437.19469889354600	3392.650946085260	93.8637808197049	2110.367514162990	1956.454979981950	0.0	2488.488144834490	631.9014364562650	0.0	738.0556529671410	468.65254894522300	137.00666735987200	142.09027370122500	769.2976189072310	0.0	243.01332177387000	485.97214492687500	39.31569955291860	503.5565335508810	2642.153697430800	0.0	1728.928419361830	787.4388616869180	0.0	654.9644333718390	0.0	8.958883261139640	463.536361356758	645.9208662498310	119.7601747867630	0.0	3491.579657571720	0.0	2464.2210100982000	2295.6640338797400	0.0	4094.5796866538200	379.0363688463080	0.0	211.91919495332000	320.93520663420900	0.0	858.057925040873	0.0	0.0	207.49607589639800	259.5836116946730	0.0	48.26897882182270	0.0	0.0	0.0	1486.898370739730	0.0	0.0	561.7698871118920	0.0	62.69664848075960	824.0394966685160	0.0	446.53273686881000	803.1194368135960	0.0	948.6597785253980	1962.8713885101900	0.0	416.01560758193100	308.9827306243180	0.0	297.37552524261800
ANAEROFRUCAT-PWY	13869.506233165500	6876.489875676790	8367.78930844547	16460.64963335190	18129.518696658100	12574.855356079900	16313.20083346190	15679.518492607800	9943.190064620840	15232.486592415400	17342.19571783220	19082.62255646890	17105.07816854870	12575.352144950700	4289.782669502500	18792.59812802490	17907.80757991920	13313.196777163200	16144.986593979500	7180.614693225890	12117.555272148700	16031.311868285000	16362.444354694600	13520.300704490800	18218.232007684700	13066.00890756960	12183.914290465000	22394.59535111900	18525.468927306600	17044.368649711400	10060.08470072060	11625.511992651100	10209.598472335500	12290.189805310100	19165.582079383400	8188.918058343080	15810.694057353000	12612.975371128800	6345.87924860163	11868.66856451770	17148.602015944700	11774.934169451400	12010.558534038200	5467.5346287874200	7859.721685227120	14870.370893708700	9365.294616226140	6372.361889472300	14837.672003648400	8887.866757787820	9546.815638096480	53017.10501074860	13773.895177679100	13571.146025618100	16563.455752661400	10886.590748390100	29275.198588678400	16053.130051484500	14161.140062214300	9370.838678839110	12167.647479601300	4095.555893969020	10650.673980156200	15617.697973539700	8763.060776297940	7922.41238822235	12314.851394771600	4229.613628633820	6639.657076474120	8549.402801049700	2038.905270627060	6209.264739780310	8742.753425552310	3622.77489837914	3741.513199459630	11977.926846710300	10845.857092582700	2727.9115548659000	11749.96131257800	4790.4111497854200	10149.556759778400	11404.729997562700	8793.209333696280	8096.255148776530	18658.827967157300	13136.385296400800	5640.346863451470	11773.44637855640	2332.1274573453500	7714.425988680240
ANAGLYCOLYSIS-PWY	16530.654467985900	13206.913093375300	11479.807913061300	19761.348158853900	32650.20400490990	13714.263558287400	23880.16375185660	20662.609102293200	11954.51743232040	20000.865235495600	28657.748654005500	19946.567210925300	21785.97391680460	19627.991859177300	5062.197086114420	25454.96162514270	28464.859637998800	14981.28544340050	22386.171886880200	23189.449347039600	15284.767876539000	24086.85384081130	28785.867707214700	17628.40699235800	27537.741363214900	29411.14549971980	13485.496867533200	26507.962376179300	30405.706771596700	19301.337855746300	10922.11227655160	18297.167358359000	10930.512031097300	15466.169611676400	27956.502003201500	9989.822112292260	17642.403471790200	17152.58685555900	6799.521222429120	14647.810939850000	22944.67710066850	14617.419615216500	13697.484210212800	26805.805470283600	17160.409556441900	14116.48457252040	21072.4783795756	6591.803415039380	21363.993385715800	14281.141107365900	9648.709401049840	67469.03405209080	22877.767786688300	15168.48718522760	21978.97007605470	19653.703647883200	33187.35481770820	17048.69376536570	21912.98262032550	10091.957484972100	16076.447119425100	17522.49749726660	12065.808723180400	16933.51889884270	15490.246796160600	8787.667156450100	13530.466266656600	13064.16174155830	7673.794998446660	14087.268633094500	7338.054223295140	8709.329566583190	10165.977455578800	8353.665384112010	4417.406441301360	16049.039161079400	25413.789447046700	3728.828633885620	13401.3716158049	8543.027163163960	10208.302716354900	12481.234557132900	17796.29566874550	8413.534063114460	23673.771137993000	25809.780265143200	6365.450206264680	13874.441053051600	9953.1505767095	8183.89194567243
ARG+POLYAMINE-SYN	3339.4416017125900	2731.289379673670	1507.5402292131900	3843.2494603934900	4703.777686674280	3263.661493984950	4355.493970901260	2255.753613473990	669.5240817210690	2834.476922939030	4334.484661785520	2316.1087072066600	5724.763233376760	2694.498127130940	1471.2971508136700	4921.521327994750	4511.059932339800	4116.923818635090	4530.20490953296	2248.2011795044400	2035.789328318080	4816.654400871800	4615.401096479380	3423.6456476325900	4866.6526312184400	7198.088499659610	3587.772149255440	1160.0308303947900	4671.48327380017	1288.5990049092600	3165.9359924591600	2923.7956330623900	2431.223736501880	1490.7387606971800	1973.1062580710500	1821.4612875912900	3059.4217253599700	989.0696432630610	1132.1785768188000	5159.718186033730	1135.0256234261400	2338.757873809200	1882.278195433740	1784.3301682698200	928.4433360580360	1174.5906673631600	2213.4668609648000	2079.449260816250	3647.167388720910	2400.41596873938	3865.2318293178000	17180.863861554400	3261.8453584864600	3657.7841432574800	5409.511103687140	2552.3259682581200	7678.37472676509	3647.915133389110	2739.0820254514600	1989.1061329890700	2662.33673344447	2545.981320430500	2152.5786365217300	2630.1736514752500	6276.136136039000	1720.4750563993700	3115.6109748641300	3634.2516525650500	1185.2051240659900	2280.4276571496400	1544.549206041550	1716.0634471458900	2469.9971609515900	1274.3148781904900	1205.0187544669200	4225.310832686720	2084.8987439635600	518.1288276130260	2174.886661622110	997.4512504149490	3560.991538472240	3723.3918764861000	3060.344405873250	2287.4046669869900	7746.861424677680	2829.762815959700	1789.1889529569800	3006.1373603992000	1761.5563650290300	1833.5293290492800
ARGDEG-PWY	0.0	0.0	0.0	0.0	1.7493876441169000	0.0	0.0	0.0	0.0	0.0	2.9151681798870400	0.0	0.0	7.567792553611890	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.16887617117010	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.729641150860200	0.0	0.0	0.0	0.0	0.0	9.00928214458821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.900701408031680	0.0	0.0	26.535791620552100	0.0	23.342094256343800	0.0	0.0	0.0	0.0	18.87636487525110	0.0	0.0	2.610105656391310	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.743825447373210	0.0	0.0	0.0
ARGORNPROST-PWY	4528.078682872690	1468.4357557554500	1142.5415617271800	1182.0861073332900	3048.4593952116100	1365.844232378700	1782.3908984806200	800.3209639666920	21.805393649195700	3308.3286557343300	3271.7272044241000	7774.165615253410	1825.4348685331700	2061.2721865515400	1395.8350115187600	3222.5693104141900	3841.043184267660	2703.9979728937000	2180.6738891560900	1645.5593373678600	1598.0920723822200	2148.052184412770	1080.7220584195400	1525.7802760832600	2154.6198875301000	1760.914976389110	2455.462431855990	4846.001615553730	2714.539013942800	5425.074293757190	1080.8273590911500	2235.8196016053100	2099.312105599500	3183.505386849840	1974.6565505974000	1993.393442394200	2711.1201596519100	635.9976856296020	1863.7434265215700	1759.060035008140	3001.9941444351800	1532.6645227750900	1993.211636374370	2418.5020306554800	1112.9753147877400	3204.987804432860	643.51649976612	1971.161454532240	1260.4513447311700	1913.3356122730800	11.96253576227010	13017.338771274300	1461.6924557969900	2749.8734380715800	1636.9192916176400	906.4250825508240	2468.6619127977300	3472.613357383220	3162.1704260782000	1299.4949528054600	2207.4593690013000	1002.0081239234600	2081.60385246625	4713.231045556600	1843.9685074943700	2166.206694892150	3101.8556990712400	1456.3360502006600	1597.6266227425700	515.0176497289420	231.6264922445690	634.6918754382340	1502.5920023744300	696.6319838493420	415.3808380486540	333.7981566499970	507.5865420699520	59.62816155447340	4041.5094313577800	820.4242991461820	1790.5809374756600	1167.2938419086700	2004.0541545708700	1135.0525295150300	1979.3198665501500	404.78748940999000	781.0658448913290	2001.9939502753500	431.1863402084740	1241.8280251984000
ARGSYN-PWY	9187.53670860416	10475.434759121700	5168.990117583810	11155.566620442400	23829.837135684500	7623.785382027980	9660.877321134540	13625.130049720000	4131.241094959340	9232.30558957245	18984.338444139300	13705.175358485600	11818.755096983700	12944.335425087700	3234.318573976230	12038.389482278200	18310.22548844370	10258.009810839200	10441.059573672800	16848.489109431400	9574.328087989580	9191.576357760240	17624.262949963500	9910.806902436700	8547.090598844	19832.009803328800	8564.972984757840	15145.056754980800	20559.731043171100	12877.126050339700	4977.053739596900	14592.34080813660	5885.166226091470	7790.377146378840	18831.319206453200	4433.265343060560	11633.881371709000	11492.758856168400	5725.00780977383	8719.012968975700	13339.543112428200	6636.480966822510	10746.278305158000	16795.349878093000	6646.167941961970	8869.208692734490	14313.329501265500	5133.391684870920	8223.18310406	11636.047216175400	5242.60040077218	33825.231607876600	16670.317611756300	9970.2782400456	9864.92228399282	14452.456772315400	21258.151147652000	11251.340443844100	15640.641992356800	4859.0960826004800	7381.698056905080	12023.076801278100	6321.67382564125	11504.48496200210	12815.477367697600	4728.534817554400	7883.5301782806700	7851.481941909170	2953.208817148720	4427.633238593820	4577.422939873010	3259.035432118750	5474.021191446310	5072.167371443520	1806.765454067600	6657.312266813720	17737.085232835900	608.1071644792960	9951.772547465160	6003.078127452110	7758.085186656120	7319.041527517650	12453.70507689340	4810.171404337040	11744.989847912900	17709.1437736513	3860.89397090308	6936.913792320870	6341.816206903690	3540.1863300957900
ARGSYNBSUB-PWY	9590.078614677150	10710.789220372300	4644.411653834530	10657.451464541200	24304.580218168500	7340.012302496590	9388.536343042320	13434.567512997900	4392.599397648940	9205.343507684300	19296.287315489200	14452.626796480400	11268.47798975340	13020.648172359500	3463.044881353410	11464.507603984400	18543.436568811000	11256.44089904840	10284.63234136400	17060.968948857900	9444.816701535250	8822.257818292600	17325.308885612200	9962.652065136120	7088.1009662969500	20485.98970720590	8244.797957631410	13485.280497409300	20536.828580902700	12706.306622625300	5053.291387228870	15022.139117693700	6306.845171947330	7559.289247463870	18953.955067088300	4586.623625650380	10354.965122966000	11435.523659286700	5750.556615180730	9436.302719227890	13839.97790610940	6419.462240905760	11383.131392952900	16932.658031634200	6340.009829982400	5790.366676576320	14540.14025956330	5261.575353679180	7738.250395115390	11869.642371238000	5035.567316731950	33894.0817788469	16826.002300935400	10433.547131409800	10023.194921148700	14611.207642267900	23001.658026046300	10376.43837592010	16012.203686451100	4571.980390531410	6865.868550863860	12053.690370297600	6347.379544478370	11844.502286886600	13515.851530868400	4989.7633940207900	7876.360445283110	7728.005232024890	3177.98025797022	3896.5399378765200	4528.307295015060	2808.0215307503100	5192.133448909030	5041.964293668620	1757.4828054636300	5677.611474045030	17882.411853840000	578.5511722660140	9837.256748117950	6068.148602584510	7107.902660964200	6730.84206713139	12627.873141195700	4725.254548369570	10653.814238605200	17963.5487148044	3448.0487325369000	6456.54723343764	6310.996897602950	3321.8144596710800
