# Constructed from biom file
#OTU ID	Stewart.CO10spitDNA.Project12.Integrated	Stewart.CO10stoolDNA.Project12.Integrated	Stewart.CO10swabDNA.Project12.Integrated	Stewart.CO1spitDNA.Project10	Stewart.CO1stoolDNA.Project10	Stewart.CO1swabDNA.Project10	Stewart.CO2spitDNA.Project10	Stewart.CO2stoolDNA.Project10	Stewart.CO2swabDNA.Project10	Stewart.CO3spitDNA.Project10	Stewart.CO3stoolDNA.Project10	Stewart.CO3swabDNA.Project10	Stewart.CO4spitDNA.Project10	Stewart.CO4stoolDNA.Project10	Stewart.CO4swabDNA.Project10	Stewart.CO5spitDNA.Project10	Stewart.CO5stoolDNA.Project10	Stewart.CO5swabDNA.Project10	Stewart.CO6spitDNA.Project10	Stewart.CO6stoolDNA.Project10	Stewart.CO6swabDNA.Project10	Stewart.CO7spitDNA.Project10	Stewart.CO7stoolDNA.Project10	Stewart.CO7swabDNA.Project10	Stewart.CO8spitDNA.Project10	Stewart.CO8stoolDNA.Project10	Stewart.CO8swabDNA.Project10	Stewart.CO9spitDNA.Project10	Stewart.CO9stoolDNA.Project10	Stewart.CO9swabDNA.Project10	Stewart.EC10spitDNA.Project12.Integrated	Stewart.EC10stoolDNA.Project12.Integrated	Stewart.EC10swabDNA.Project12.Integrated	Stewart.EC11spitDNA.Project12.Integrated	Stewart.EC11stoolDNA.Project12.Integrated	Stewart.EC11swabDNA.Project12.Integrated	Stewart.EC1spitDNA.Pool264	Stewart.EC1stoolDNA.Pool264	Stewart.EC1swabDNA.Pool264	Stewart.EC2spitDNA.Pool264	Stewart.EC2stoolDNA.Pool264	Stewart.EC2swabDNA.Pool264	Stewart.EC3spitDNA.Pool264	Stewart.EC3stoolDNA.Pool264	Stewart.EC3swabDNA.Pool264	Stewart.EC4spitDNA.Pool264	Stewart.EC4stoolDNA.Pool264	Stewart.EC4swabDNA.Pool264	Stewart.EC6spitDNA.Pool264	Stewart.EC6stoolDNA.Pool264	Stewart.EC6swabDNA.Pool264	Stewart.EC7spitDNA.Project10	Stewart.EC7stoolDNA.Project10	Stewart.EC7swabDNA.Project10	Stewart.EC8spitDNA.Project10	Stewart.EC8stoolDNA.Project10	Stewart.EC8swabDNA.Project10	Stewart.EC9spitDNA.Project10	Stewart.EC9stoolDNA.Project10	Stewart.EC9swabDNA.Project10	Stewart.TS10spitDNA.Project12.Integrated	Stewart.TS10stoolDNA.Project12.Integrated	Stewart.TS10swabDNA.Project12.Integrated	Stewart.TS11spitDNA.Project12.Integrated	Stewart.TS11stoolDNA.Project12.Integrated	Stewart.TS11swabDNA.Project12.Integrated	Stewart.TS12spitDNA.Project12.Integrated	Stewart.TS12stoolDNA.Project12.Integrated	Stewart.TS12swabDNA.Project12.Integrated	Stewart.TS1spitDNA.Pool264	Stewart.TS1stoolDNA.Pool264	Stewart.TS1swabDNA.Pool264	Stewart.TS2spitDNA.Pool264	Stewart.TS2stoolDNA.Pool264	Stewart.TS2swabDNA.Pool264	Stewart.TS3spitDNA.Pool264	Stewart.TS3stoolDNA.Pool264	Stewart.TS3swabDNA.Pool264	Stewart.TS4spitDNA.Pool264	Stewart.TS4stoolDNA.Pool264	Stewart.TS4swabDNA.Pool264	Stewart.TS5spitDNA.Pool264	Stewart.TS5stoolDNA.Pool264	Stewart.TS5swabDNA.Pool264	Stewart.TS8spitDNA.Project10	Stewart.TS8stoolDNA.Project10	Stewart.TS8swabDNA.Project10	Stewart.TS9spitDNA.Project12.Integrated	Stewart.TS9stoolDNA.Project12.Integrated	Stewart.TS9swabDNA.Project12.Integrated
K00001	3286.3999999999996	3892.71	658.6	586.85	8859.43	853.24	828.53	6983.3099999999995	20.0	2408.74	8867.41	4619.23	990.6399999999999	7272.21	1206.75	1802.33	11105.21	1207.2	951.25	2114.03	1233.33	652.3199999999999	5421.51	1147.7600000000002	641.25	5044.15	1335.99	3442.42	6551.9	4437.92	959.0799999999999	7960.18	2354.25	2054.5	9008.21	981.25	2022.75	5431.19	1487.5	951.67	12488.3	756.0	1354.17	8254.3	696.3299999999999	5426.0	3678.5699999999997	2248.75	565.5	6473.55	243.0	6632.71	7926.13	2389.29	983.5799999999999	6830.42	865.6800000000001	3851.58	9735.98	1502.5500000000002	854.1700000000001	1772.52	1123.32	7210.9	4773.7	2336.2599999999998	3545.25	1727.8	1594.58	278.0	723.47	369.17	1815.8400000000001	2339.63	676.0	101.0	4285.17	335.0	2440.58	4175.75	1795.67	955.01	3048.2599999999998	1075.83	1019.0799999999999	4743.1	642.88	1830.3799999999999	1995.32	895.1700000000001
K00002	13.0	0.0	27.0	12.0	0.0	16.0	24.0	0.0	0.0	0.0	23.0	0.0	19.0	0.0	12.0	14.0	0.0	0.0	3.0	0.0	6.0	31.0	17.0	0.0	20.0	0.0	28.0	0.0	11.0	0.0	3.0	264.0	0.0	0.0	6.0	21.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	32.0	0.0	178.5	0.0	86.0	17.0	3.0	9.0	76.0	0.0	13.0	34.0	0.0	96.5	12.0	0.0	13.0	22.5	0.0	13.5	118.0	0.0	36.0	52.0	0.0	0.0	158.0	0.0	10.0	19.0	0.0	0.0	383.0	10.0	40.0	36.0	0.0	15.0	46.0	0.0	46.0
K00003	11944.740000000002	13267.2	4708.62	9874.64	29474.519999999997	8724.38	12520.05	14243.91	12899.25	10511.740000000002	24097.239999999998	18220.64	12970.919999999998	15287.32	3654.48	11946.5	21970.05	11213.23	10063.57	22091.02	7128.0	12940.89	23922.54	10111.55	11204.48	26024.12	8780.09	17050.41	25691.82	13633.42	9366.279999999999	14982.76	10621.6	7683.47	21223.37	5311.65	12884.099999999999	13234.82	4835.33	9885.84	16568.77	7823.77	8201.54	19908.39	3225.5299999999997	14526.83	20041.09	5878.1	10401.900000000001	13012.28	8511.6	39866.47	19195.73	9779.41	12126.4	17333.72	28449.82	12680.43	19309.17	8711.939999999999	6626.71	14798.25	6835.03	12222.43	13412.119999999999	8036.9	8625.2	11281.0	6812.37	4340.17	5537.08	4523.73	6337.4	6467.0	4755.2	6927.59	24989.65	3503.07	7092.6900000000005	6851.93	8714.720000000001	7417.790000000001	16674.28	6849.3099999999995	12925.23	21722.52	3995.98	7466.27	7419.6	5928.95
K00004	1569.0100000000002	139.8	499.28999999999996	2513.14	82.78	1908.71	2287.37	69.0	61.25	1365.98	193.4	816.1399999999999	4253.21	31.4	929.75	2044.5	232.3	2310.2	1882.55	35.47	1614.3999999999999	1453.56	240.43	1223.99	1271.25	15.67	1187.1	1444.65	149.53	2193.25	636.95	221.0	286.85	839.7	199.7	695.65	806.3499999999999	0.0	1258.5	1374.5000000000002	11.4	1128.7	4304.7	23.67	1224.2	537.0	128.25	1671.75	1647.5	165.8	40.6	4386.570000000001	31.8	3084.6	1894.4499999999998	13.8	1934.5400000000002	697.15	370.0	841.95	1056.0	7.0	843.8599999999999	777.41	98.37	742.89	766.62	143.0	420.2	191.35	3.0	417.9	431.4	0.0	249.2	467.0	62.65	51.4	450.45000000000005	3.6	650.8	931.54	14.2	1295.5	1807.5500000000002	0.0	677.15	478.15000000000003	8.6	356.5
K00005	2701.65	4021.87	750.95	2109.0	10888.779999999999	2820.95	2710.1	4738.25	288.2	2451.85	6334.49	3746.75	5132.63	3910.57	1101.55	3175.95	5196.8	2239.59	2574.75	8093.05	1840.0	2607.5	5367.73	1535.65	3965.85	14758.2	3040.6499999999996	2389.25	7102.07	3065.6	462.75	2828.75	895.05	1913.45	5553.03	1289.25	1718.55	3490.32	1628.33	1377.35	4732.1	1892.7	1157.0	11710.22	538.8	4471.0	5698.34	2995.75	3459.63	2543.45	3532.6	11608.72	4192.4	3094.9	2632.86	3813.7200000000003	2647.65	2535.65	7539.17	2394.7	2053.6	5096.75	1136.6	2583.83	8852.45	1768.55	2037.75	3471.5	1008.2	610.23	1925.08	1093.78	2588.9	2024.0	769.2	3127.0	7352.65	199.6	1526.05	1125.1	5166.0	2103.8	5552.95	2604.7	6028.200000000001	9514.52	1999.88	2531.85	1964.1	1971.5
K00007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	5.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00008	3377.66	11004.4	661.34	371.34000000000003	25858.98	484.65999999999997	730.0	12265.18	2.0	2129.66	20733.690000000002	4308.66	1506.79	12277.52	1092.5	1658.5	18337.5	502.17	911.0	17644.370000000003	553.0	505.65999999999997	19973.61	356.0	712.75	25439.6	1194.25	3093.0	20339.32	3276.0	477.0	11814.869999999999	1572.0	1961.5	16819.13	744.5	1808.5	12768.869999999999	775.83	736.0	14852.0	534.0	454.0	21977.420000000002	421.0	502.0	17259.59	1007.0	1059.88	11435.029999999999	12.0	9036.66	15912.43	1676.5	1070.21	15911.869999999999	828.49	2066.5	19220.77	633.23	712.0	11752.1	807.16	3802.16	14221.25	1544.3400000000001	1331.0	9273.0	1127.5	289.38	4416.33	339.88	1833.5	5877.0	153.0	177.0	22197.2	14.5	2219.33	5871.5	798.5	626.51	11220.630000000001	547.5	1110.5	19161.77	473.58	1137.5	6187.1	433.0
K00009	346.5	674.0	467.0	592.3299999999999	2527.08	723.25	260.92	1179.5	2580.0	725.1700000000001	1320.25	3477.33	363.75	919.25	189.07999999999998	149.5	1476.0	286.0	352.42	2128.17	551.3299999999999	539.67	562.71	1468.0	377.42	5892.42	322.75	98.25	1917.58	220.25	2185.5	578.0	2945.0	173.5	1925.5	233.5	114.75	737.5	57.5	466.0	2627.0	566.0	243.5	9288.17	291.0	1949.0	3060.75	516.0	206.0	145.0	775.5	1554.6999999999998	850.5	538.5	512.25	934.0	5379.4	702.0	5716.0	422.5	267.58	1258.0	655.5	382.75	3289.17	715.5	143.92000000000002	677.0	277.5	47.75	213.5	69.25	367.5	854.0	746.0	117.0	660.0	257.5	88.75	372.0	1006.25	265.33	1241.5	361.67	535.75	3910.5	231.0	217.0	261.0	181.0
K00010	2826.33	2067.7	372.67	846.5	6032.4	700.5	920.1700000000001	2604.1	411.17	1794.33	6539.92	4264.33	492.33	3867.6	967.0	1612.5	8648.75	1268.5	1315.0	1575.2	1210.0	421.0	2750.19	420.67	328.0	4877.0	1069.0	2854.0	4554.67	2934.0	499.0	3777.95	1804.0	1873.17	2705.63	540.17	1674.83	1680.47	754.33	706.0	8857.9	508.0	349.0	9958.0	382.0	728.0	2044.17	947.0	393.0	2755.25	12.0	5335.27	2919.3	670.0	855.0	2068.37	3331.87	2277.0	10406.67	569.0	601.1700000000001	1136.35	610.16	6312.33	3340.5	1609.67	2876.17	1364.0	1078.0	74.0	299.33	173.0	754.8299999999999	1970.5	147.0	984.0	1068.7	11.0	2698.0	1945.0	1082.0	536.1700000000001	1693.05	466.5	664.0	3612.27	287.83000000000004	1132.17	247.35	358.16999999999996
K00012	11773.86	7176.78	2738.79	11637.27	23201.739999999998	7174.93	18582.47	18977.39	3421.62	16047.46	19409.33	10049.26	14125.38	15290.77	3053.45	20340.55	19870.03	8228.57	15711.7	16003.9	3896.2	18722.48	31157.86	6444.49	23159.1	21693.12	7922.3099999999995	22430.0	22411.809999999998	14348.15	6640.75	11020.83	6922.0	12376.619999999999	19520.33	6330.2699999999995	17749.83	12627.529999999999	3602.63	9578.95	20107.63	5756.1	3384.05	17727.43	1338.6	12173.65	12224.55	4167.7	16779.35	6703.23	6423.9	51194.59	15987.82	7874.39	16049.43	10782.57	17667.69	13895.15	13121.380000000001	5181.72	11403.84	13581.02	4378.44	14543.31	9137.32	4717.79	8489.869999999999	9834.09	3059.45	12106.4	6428.92	6867.5	7344.65	6683.030000000001	1808.6	13792.0	17147.26	563.5	6902.9	5334.76	6888.15	8162.1900000000005	11944.57	3773.5499999999997	20069.4	18828.940000000002	3505.08	11075.07	7826.27	4700.92
