# Constructed from biom file
#OTU ID	Stewart.CO10spitDNA.Project12.Integrated	Stewart.CO10stoolDNA.Project12.Integrated	Stewart.CO10swabDNA.Project12.Integrated	Stewart.CO1spitDNA.Project10	Stewart.CO1stoolDNA.Project10	Stewart.CO1swabDNA.Project10	Stewart.CO2spitDNA.Project10	Stewart.CO2stoolDNA.Project10	Stewart.CO2swabDNA.Project10	Stewart.CO3spitDNA.Project10	Stewart.CO3stoolDNA.Project10	Stewart.CO3swabDNA.Project10	Stewart.CO4spitDNA.Project10	Stewart.CO4stoolDNA.Project10	Stewart.CO4swabDNA.Project10	Stewart.CO5spitDNA.Project10	Stewart.CO5stoolDNA.Project10	Stewart.CO5swabDNA.Project10	Stewart.CO6spitDNA.Project10	Stewart.CO6stoolDNA.Project10	Stewart.CO6swabDNA.Project10	Stewart.CO7spitDNA.Project10	Stewart.CO7stoolDNA.Project10	Stewart.CO7swabDNA.Project10	Stewart.CO8spitDNA.Project10	Stewart.CO8stoolDNA.Project10	Stewart.CO8swabDNA.Project10	Stewart.CO9spitDNA.Project10	Stewart.CO9stoolDNA.Project10	Stewart.CO9swabDNA.Project10	Stewart.EC10spitDNA.Project12.Integrated	Stewart.EC10stoolDNA.Project12.Integrated	Stewart.EC10swabDNA.Project12.Integrated	Stewart.EC11spitDNA.Project12.Integrated	Stewart.EC11stoolDNA.Project12.Integrated	Stewart.EC11swabDNA.Project12.Integrated	Stewart.EC1spitDNA.Pool264	Stewart.EC1stoolDNA.Pool264	Stewart.EC1swabDNA.Pool264	Stewart.EC2spitDNA.Pool264	Stewart.EC2stoolDNA.Pool264	Stewart.EC2swabDNA.Pool264	Stewart.EC3spitDNA.Pool264	Stewart.EC3stoolDNA.Pool264	Stewart.EC3swabDNA.Pool264	Stewart.EC4spitDNA.Pool264	Stewart.EC4stoolDNA.Pool264	Stewart.EC4swabDNA.Pool264	Stewart.EC6spitDNA.Pool264	Stewart.EC6stoolDNA.Pool264	Stewart.EC6swabDNA.Pool264	Stewart.EC7spitDNA.Project10	Stewart.EC7stoolDNA.Project10	Stewart.EC7swabDNA.Project10	Stewart.EC8spitDNA.Project10	Stewart.EC8stoolDNA.Project10	Stewart.EC8swabDNA.Project10	Stewart.EC9spitDNA.Project10	Stewart.EC9stoolDNA.Project10	Stewart.EC9swabDNA.Project10	Stewart.TS10spitDNA.Project12.Integrated	Stewart.TS10stoolDNA.Project12.Integrated	Stewart.TS10swabDNA.Project12.Integrated	Stewart.TS11spitDNA.Project12.Integrated	Stewart.TS11stoolDNA.Project12.Integrated	Stewart.TS11swabDNA.Project12.Integrated	Stewart.TS12spitDNA.Project12.Integrated	Stewart.TS12stoolDNA.Project12.Integrated	Stewart.TS12swabDNA.Project12.Integrated	Stewart.TS1spitDNA.Pool264	Stewart.TS1stoolDNA.Pool264	Stewart.TS1swabDNA.Pool264	Stewart.TS2spitDNA.Pool264	Stewart.TS2stoolDNA.Pool264	Stewart.TS2swabDNA.Pool264	Stewart.TS3spitDNA.Pool264	Stewart.TS3stoolDNA.Pool264	Stewart.TS3swabDNA.Pool264	Stewart.TS4spitDNA.Pool264	Stewart.TS4stoolDNA.Pool264	Stewart.TS4swabDNA.Pool264	Stewart.TS5spitDNA.Pool264	Stewart.TS5stoolDNA.Pool264	Stewart.TS5swabDNA.Pool264	Stewart.TS8spitDNA.Project10	Stewart.TS8stoolDNA.Project10	Stewart.TS8swabDNA.Project10	Stewart.TS9spitDNA.Project12.Integrated	Stewart.TS9stoolDNA.Project12.Integrated	Stewart.TS9swabDNA.Project12.Integrated
1CMET2-PWY	13723.220668893593	10294.767678298982	10486.444546842094	19165.41865571758	25027.73722933783	12040.331701708801	21691.20683263958	16372.066432034178	10576.645636197245	18601.42555278247	20216.008013479077	14452.9663715835	19645.47787112111	13988.718190516336	4159.829944484931	24814.06778506853	19467.979696484952	13563.01778696412	21082.188879670815	17284.40392703724	14555.445371340675	22711.74984512876	21999.303889894407	16168.724729008474	27069.26568825509	20558.915742575035	12295.831354876322	25400.118225658436	21820.786255655286	16820.108859361753	9738.976108784276	13654.9585739874	8906.483679230545	14935.75716182037	20799.42340353692	7713.651326519935	17916.93768911794	13120.114550519094	6365.8412493625265	13264.702239001681	18040.47286805739	12919.047410086372	13800.839931703886	19147.49212051935	16759.491272284366	13676.377261702406	14787.688513563622	5429.577897974065	20018.853007414215	11144.364577473769	8072.725137862281	59248.00609607564	17358.71229466169	13075.2750752306	19221.610577708958	14575.891484115258	28385.26528942726	15594.334878832971	16454.676373133247	8868.114030808498	16353.665374218706	13436.265793788152	10768.302275634593	13738.409173880267	10850.821962729564	7297.51987170836	10915.511976856536	9197.143888611872	6617.0928461591375	12394.589484265403	5705.528430458125	7858.722833971531	8347.360658765067	6234.868766964455	3729.5766090852653	16461.352428443697	19196.654568498197	3543.3345621488693	11233.008365367406	6384.435160078344	9157.86724755314	11009.424822922247	12900.685500326786	7424.119706797413	23521.782548978947	18583.249415675124	5817.056655190972	12791.240855349923	7605.306044276799	6917.609794303441
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4983477968069066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.623874266542929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.396971178551203	0.0	0.0	0.0	0.0	36.72480482796475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	824.017980891274	0.0	494.1657851825819	1275.3488456912594	12.350886771940877	880.6753588906803	2605.5829805146477	0.0	59.18567986460987	841.9965017819643	21.314425615852624	1085.488657419689	1316.4427997576113	51.89436963286867	748.8619741846338	1218.3539264033561	0.0	709.1873160220617	3238.8941114022946	0.0	437.19469889354554	3392.650946085263	93.8637808197049	2110.367514162989	1956.454979981948	0.0	2488.488144834494	631.9014364562653	0.0	738.0556529671405	468.65254894522343	137.00666735987227	142.09027370122544	769.2976189072305	0.0	243.01332177387022	485.97214492687476	39.31569955291863	503.5565335508805	2642.153697430796	0.0	1728.928419361834	787.4388616869176	0.0	654.9644333718389	0.0	8.958883261139642	463.536361356758	645.9208662498309	119.7601747867633	0.0	3491.579657571717	0.0	2464.2210100981965	2295.6640338797442	0.0	4094.5796866538185	379.0363688463075	0.0	211.91919495332036	320.93520663420907	0.0	858.057925040873	0.0	0.0	207.49607589639817	259.5836116946732	0.0	48.26897882182274	0.0	0.0	0.0	1486.898370739732	0.0	0.0	561.7698871118916	0.0	62.69664848075956	824.0394966685158	0.0	446.53273686880954	803.1194368135956	0.0	948.6597785253983	1962.8713885101927	0.0	416.01560758193074	308.9827306243177	0.0	297.37552524261827
ANAEROFRUCAT-PWY	13869.506233165468	6876.489875676785	8367.78930844547	16460.64963335194	18129.518696658142	12574.855356079914	16313.20083346185	15679.518492607762	9943.190064620838	15232.486592415398	17342.19571783222	19082.62255646889	17105.07816854866	12575.352144950653	4289.782669502499	18792.59812802489	17907.80757991915	13313.196777163203	16144.986593979533	7180.614693225894	12117.555272148733	16031.311868285007	16362.444354694593	13520.300704490808	18218.232007684714	13066.00890756964	12183.914290464996	22394.59535111903	18525.468927306618	17044.368649711447	10060.08470072059	11625.511992651067	10209.598472335478	12290.189805310074	19165.582079383385	8188.918058343083	15810.694057353036	12612.975371128818	6345.87924860163	11868.66856451774	17148.602015944653	11774.934169451406	12010.558534038226	5467.5346287874245	7859.721685227121	14870.370893708654	9365.294616226138	6372.361889472298	14837.672003648378	8887.866757787822	9546.815638096476	53017.10501074857	13773.895177679122	13571.146025618129	16563.455752661415	10886.590748390121	29275.198588678428	16053.130051484513	14161.140062214265	9370.838678839109	12167.647479601286	4095.555893969018	10650.673980156189	15617.697973539676	8763.060776297943	7922.41238822235	12314.851394771582	4229.613628633817	6639.657076474118	8549.402801049697	2038.905270627061	6209.264739780312	8742.753425552308	3622.77489837914	3741.513199459628	11977.926846710285	10845.857092582686	2727.9115548658965	11749.96131257795	4790.4111497854165	10149.556759778394	11404.729997562708	8793.209333696275	8096.255148776533	18658.827967157293	13136.385296400782	5640.346863451471	11773.44637855644	2332.1274573453497	7714.425988680236
ANAGLYCOLYSIS-PWY	16530.654467985853	13206.913093375279	11479.807913061306	19761.348158853943	32650.20400490992	13714.263558287403	23880.16375185661	20662.609102293176	11954.51743232035	20000.865235495556	28657.748654005467	19946.567210925303	21785.97391680461	19627.991859177273	5062.197086114422	25454.96162514266	28464.859637998794	14981.28544340053	22386.171886880198	23189.449347039645	15284.767876539021	24086.85384081127	28785.867707214747	17628.40699235802	27537.741363214936	29411.14549971983	13485.496867533153	26507.962376179254	30405.706771596728	19301.337855746326	10922.11227655157	18297.167358359005	10930.512031097305	15466.169611676432	27956.502003201513	9989.822112292259	17642.403471790225	17152.58685555899	6799.521222429117	14647.810939849996	22944.67710066854	14617.419615216491	13697.484210212844	26805.805470283554	17160.409556441886	14116.48457252037	21072.4783795756	6591.803415039381	21363.993385715792	14281.141107365887	9648.709401049835	67469.03405209076	22877.767786688255	15168.48718522755	21978.97007605473	19653.703647883158	33187.35481770817	17048.69376536574	21912.98262032552	10091.957484972147	16076.447119425085	17522.49749726662	12065.808723180371	16933.51889884271	15490.246796160647	8787.667156450101	13530.466266656573	13064.16174155828	7673.794998446656	14087.268633094465	7338.054223295138	8709.329566583194	10165.977455578764	8353.665384112006	4417.406441301356	16049.039161079441	25413.789447046725	3728.828633885618	13401.3716158049	8543.027163163963	10208.302716354934	12481.234557132871	17796.29566874554	8413.534063114459	23673.771137993037	25809.780265143196	6365.450206264683	13874.441053051572	9953.1505767095	8183.89194567243
ARG+POLYAMINE-SYN	3339.4416017125864	2731.289379673669	1507.5402292131857	3843.2494603934865	4703.777686674284	3263.661493984945	4355.493970901259	2255.753613473987	669.5240817210687	2834.476922939028	4334.484661785523	2316.1087072066584	5724.763233376763	2694.498127130939	1471.2971508136743	4921.521327994754	4511.059932339802	4116.923818635092	4530.20490953296	2248.2011795044386	2035.789328318076	4816.654400871801	4615.401096479384	3423.6456476325898	4866.6526312184415	7198.088499659606	3587.772149255437	1160.0308303947893	4671.48327380017	1288.5990049092613	3165.9359924591568	2923.7956330623883	2431.223736501879	1490.7387606971781	1973.1062580710504	1821.4612875912915	3059.4217253599722	989.0696432630612	1132.1785768188024	5159.718186033733	1135.0256234261383	2338.757873809204	1882.278195433737	1784.3301682698166	928.4433360580359	1174.5906673631573	2213.4668609647965	2079.449260816246	3647.167388720906	2400.41596873938	3865.2318293177955	17180.863861554386	3261.8453584864587	3657.7841432574755	5409.511103687144	2552.3259682581215	7678.37472676509	3647.915133389114	2739.0820254514633	1989.1061329890717	2662.33673344447	2545.981320430495	2152.5786365217314	2630.1736514752506	6276.136136038997	1720.4750563993732	3115.6109748641334	3634.2516525650467	1185.2051240659853	2280.4276571496443	1544.549206041549	1716.0634471458936	2469.9971609515883	1274.3148781904893	1205.0187544669188	4225.310832686722	2084.8987439635553	518.1288276130261	2174.886661622113	997.4512504149491	3560.991538472236	3723.3918764860987	3060.344405873246	2287.4046669869936	7746.861424677681	2829.762815959704	1789.1889529569848	3006.1373603992033	1761.5563650290335	1833.5293290492798
ARGDEG-PWY	0.0	0.0	0.0	0.0	1.7493876441169007	0.0	0.0	0.0	0.0	0.0	2.9151681798870386	0.0	0.0	7.567792553611892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.16887617117007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.729641150860207	0.0	0.0	0.0	0.0	0.0	9.00928214458821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.900701408031678	0.0	0.0	26.535791620552054	0.0	23.342094256343753	0.0	0.0	0.0	0.0	18.87636487525112	0.0	0.0	2.610105656391305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.743825447373212	0.0	0.0	0.0
ARGORNPROST-PWY	4528.078682872694	1468.4357557554497	1142.5415617271779	1182.0861073332933	3048.4593952116074	1365.844232378698	1782.3908984806178	800.3209639666917	21.805393649195672	3308.3286557343285	3271.7272044240985	7774.165615253409	1825.4348685331684	2061.2721865515387	1395.8350115187568	3222.5693104141856	3841.043184267659	2703.9979728937033	2180.6738891560944	1645.5593373678596	1598.0920723822185	2148.052184412773	1080.7220584195431	1525.7802760832556	2154.6198875301016	1760.914976389109	2455.462431855987	4846.001615553727	2714.539013942804	5425.074293757186	1080.8273590911463	2235.8196016053116	2099.312105599504	3183.505386849842	1974.6565505974036	1993.393442394195	2711.1201596519063	635.9976856296015	1863.7434265215722	1759.060035008138	3001.9941444351834	1532.6645227750937	1993.211636374373	2418.5020306554798	1112.9753147877423	3204.987804432858	643.51649976612	1971.161454532237	1260.4513447311656	1913.3356122730843	11.96253576227011	13017.338771274306	1461.6924557969944	2749.8734380715805	1636.9192916176412	906.4250825508241	2468.6619127977306	3472.613357383216	3162.1704260781953	1299.4949528054592	2207.4593690013016	1002.0081239234551	2081.60385246625	4713.231045556603	1843.9685074943663	2166.206694892146	3101.8556990712436	1456.3360502006574	1597.6266227425713	515.0176497289416	231.6264922445687	634.6918754382335	1502.5920023744327	696.6319838493421	415.3808380486535	333.7981566499969	507.5865420699524	59.62816155447339	4041.5094313577806	820.4242991461821	1790.5809374756643	1167.2938419086697	2004.0541545708666	1135.0525295150348	1979.3198665501493	404.78748940999003	781.0658448913293	2001.9939502753455	431.1863402084739	1241.8280251984029
ARGSYN-PWY	9187.53670860416	10475.434759121734	5168.990117583811	11155.566620442418	23829.837135684516	7623.785382027984	9660.877321134536	13625.130049720017	4131.241094959335	9232.30558957245	18984.338444139255	13705.175358485636	11818.755096983672	12944.335425087744	3234.318573976226	12038.389482278179	18310.22548844366	10258.009810839232	10441.059573672761	16848.489109431448	9574.328087989577	9191.576357760236	17624.262949963457	9910.806902436698	8547.090598844	19832.009803328754	8564.972984757842	15145.056754980822	20559.731043171054	12877.126050339688	4977.053739596903	14592.34080813657	5885.166226091467	7790.377146378837	18831.319206453172	4433.265343060559	11633.881371709038	11492.758856168444	5725.00780977383	8719.012968975696	13339.543112428171	6636.480966822506	10746.278305157963	16795.349878092973	6646.167941961974	8869.208692734494	14313.329501265489	5133.391684870921	8223.18310406	11636.047216175391	5242.60040077218	33825.231607876645	16670.317611756276	9970.2782400456	9864.92228399282	14452.456772315398	21258.151147652014	11251.340443844068	15640.641992356761	4859.0960826004775	7381.698056905084	12023.076801278125	6321.67382564125	11504.48496200206	12815.477367697566	4728.534817554403	7883.5301782806655	7851.481941909166	2953.208817148717	4427.633238593823	4577.422939873012	3259.035432118745	5474.021191446311	5072.167371443515	1806.765454067595	6657.312266813715	17737.085232835878	608.1071644792964	9951.772547465156	6003.078127452109	7758.085186656117	7319.041527517647	12453.70507689343	4810.171404337043	11744.989847912891	17709.1437736513	3860.89397090308	6936.913792320865	6341.816206903693	3540.1863300957934
ARGSYNBSUB-PWY	9590.078614677153	10710.789220372302	4644.411653834532	10657.451464541162	24304.580218168514	7340.012302496591	9388.536343042317	13434.567512997886	4392.599397648936	9205.343507684302	19296.287315489208	14452.626796480396	11268.47798975344	13020.648172359472	3463.044881353406	11464.507603984384	18543.436568810957	11256.44089904844	10284.63234136398	17060.968948857906	9444.816701535248	8822.257818292603	17325.308885612234	9962.652065136115	7088.1009662969545	20485.98970720593	8244.797957631408	13485.280497409343	20536.828580902667	12706.306622625329	5053.291387228865	15022.139117693725	6306.845171947328	7559.289247463866	18953.955067088285	4586.623625650378	10354.965122965967	11435.523659286728	5750.556615180734	9436.302719227886	13839.97790610938	6419.462240905759	11383.131392952922	16932.658031634157	6340.009829982401	5790.366676576318	14540.14025956331	5261.575353679176	7738.250395115394	11869.642371237982	5035.567316731954	33894.0817788469	16826.002300935364	10433.547131409798	10023.194921148723	14611.207642267891	23001.658026046345	10376.43837592005	16012.203686451086	4571.980390531414	6865.868550863863	12053.690370297598	6347.379544478369	11844.502286886573	13515.851530868427	4989.7633940207925	7876.360445283105	7728.005232024894	3177.98025797022	3896.5399378765155	4528.307295015056	2808.0215307503117	5192.133448909031	5041.964293668623	1757.4828054636253	5677.611474045026	17882.411853840007	578.5511722660135	9837.256748117947	6068.148602584508	7107.902660964203	6730.84206713139	12627.873141195685	4725.254548369569	10653.814238605211	17963.5487148044	3448.0487325368963	6456.54723343764	6310.996897602949	3321.8144596710817
